"setting","scenario","n_r","n_o","calibration","variant","rho","gamma","kappa","treated_nuisance","replication","seed","test_seed","B","method","status","failure","bootstrap_attempted","bootstrap_successful","source_hash"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_ridge",1,200,2000,"ridge","nonprognostic",0,1,0,"dictionary",1,20260915,20260901,20,"interaction_ols","success",NA,20,20,"8ce7fc841e3cdc191cc498965d902993"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_ridge",1,200,2000,"ridge","nonprognostic",0,1,0,"dictionary",1,20260915,20260901,20,"pooled","success",NA,20,20,"8ce7fc841e3cdc191cc498965d902993"
"s2_n200_nonprognostic_rho0_g1_k0_dictionary_ridge",2,200,2000,"ridge","nonprognostic",0,1,0,"dictionary",1,20260916,20260901,20,"interaction_ols","success",NA,20,20,"8ce7fc841e3cdc191cc498965d902993"
"s2_n200_nonprognostic_rho0_g1_k0_dictionary_ridge",2,200,2000,"ridge","nonprognostic",0,1,0,"dictionary",1,20260916,20260901,20,"pooled","success",NA,20,20,"8ce7fc841e3cdc191cc498965d902993"
"s3_n200_nonprognostic_rho0_g1_k0_dictionary_ridge",3,200,2000,"ridge","nonprognostic",0,1,0,"dictionary",1,20260917,20260901,20,"interaction_ols","success",NA,20,20,"8ce7fc841e3cdc191cc498965d902993"
"s3_n200_nonprognostic_rho0_g1_k0_dictionary_ridge",3,200,2000,"ridge","nonprognostic",0,1,0,"dictionary",1,20260917,20260901,20,"pooled","success",NA,20,20,"8ce7fc841e3cdc191cc498965d902993"
"s4_n200_nonprognostic_rho0.0_g1_k0_dictionary_ridge",4,200,2000,"ridge","nonprognostic",0,1,0,"dictionary",1,20260918,20260901,20,"interaction_ols","success",NA,20,20,"8ce7fc841e3cdc191cc498965d902993"
"s4_n200_nonprognostic_rho0.0_g1_k0_dictionary_ridge",4,200,2000,"ridge","nonprognostic",0,1,0,"dictionary",1,20260918,20260901,20,"pooled","unavailable","pooled unavailable: effect and outcome covariates must be shared.",20,0,"8ce7fc841e3cdc191cc498965d902993"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_ridge",6,250,2000,"ridge","nonprognostic",0,1,0,"dictionary",1,20260919,20260901,20,"interaction_ols","success",NA,20,20,"8ce7fc841e3cdc191cc498965d902993"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_ridge",6,250,2000,"ridge","nonprognostic",0,1,0,"dictionary",1,20260919,20260901,20,"pooled","success",NA,20,20,"8ce7fc841e3cdc191cc498965d902993"
"s5_n200_nonprognostic_rho0_g1_k1_linear_ridge",5,200,2000,"ridge","nonprognostic",0,1,1,"linear",1,20260920,20260901,20,"interaction_ols","success",NA,20,20,"8ce7fc841e3cdc191cc498965d902993"
"s5_n200_nonprognostic_rho0_g1_k1_linear_ridge",5,200,2000,"ridge","nonprognostic",0,1,1,"linear",1,20260920,20260901,20,"pooled","success",NA,20,20,"8ce7fc841e3cdc191cc498965d902993"
"s5_n200_nonprognostic_rho0_g1_k1_sine_ridge",5,200,2000,"ridge","nonprognostic",0,1,1,"sine",1,20260921,20260901,20,"interaction_ols","success",NA,20,20,"8ce7fc841e3cdc191cc498965d902993"
"s5_n200_nonprognostic_rho0_g1_k1_sine_ridge",5,200,2000,"ridge","nonprognostic",0,1,1,"sine",1,20260921,20260901,20,"pooled","success",NA,20,20,"8ce7fc841e3cdc191cc498965d902993"
