"artifact","run","md5","bytes"
"star/quick/population_audit.csv","star-quick","2a425ec2aea6ccf5aa103a23b4e3e85e",130
"star/quick/covariate_missingness.csv","star-quick","dabbe4bebe0e44ca093d9d8ce5b68277",134
"star/quick/effect_basis_knots.csv","star-quick","651a663f70c451d81787e60485afaaa1",49
"star/quick/profile_results.csv","star-quick","dfc4ace733990058cac4898deb024109",57827
"star/quick/fit_status.csv","star-quick","19f29a9aa21107e582ee4139609e402d",608
"star/quick/job_status.csv","star-quick","cf46a76a06653693b0d8d9cf75caf516",211
"star/quick/job_manifest.csv","star-quick","14a151e0032add10cca3615330a03fa8",165
"star/quick/run_timing.csv","star-quick","f9661e5d000881cf1e4ca31bbb076458",124
"star/quick/profile_support_status.csv","star-quick","3aa9ed32b4c2ba9b5cf852554bf3a953",167
"star/quick/PROFILE_SUPPORT_AUDIT.txt","star-quick","10110300e0c10844499fd6121506f103",430
"star/quick/P018_STAR_effects.pdf","star-quick","00f5d7999060683328d01ae6ddbabcae",21248
"star/quick/RESULTS_NOTES.txt","star-quick","9a9e87952b22a8bad17b4279e7eefec5",967
"star/quick/summary/P015_classroom_overlap.csv","star-quick","8fe901429e66112f516f15aa3503a1cd",539
"star/quick/summary/P015_covariate_missingness.csv","star-quick","dabbe4bebe0e44ca093d9d8ce5b68277",134
"star/quick/summary/P015_population_audit.csv","star-quick","2a425ec2aea6ccf5aa103a23b4e3e85e",130
"star/quick/summary/P015_selection_denominators.csv","star-quick","dc199e5f74d6ab1b1c1fc9303985ca22",616
"star/quick/summary/P015_source_counts.csv","star-quick","69b59e2ad8e197b4cb147822a20d7298",2001
"star/quick/summary/P017_across_repetitions.csv","star-quick","150a5c300e4db11d5d5d22a4bca60323",8916
"star/quick/summary/P017_borrowing_diagnostics.csv","star-quick","eefd1410020d8438754ae788fe7d7339",1967
"star/quick/summary/P017_profile_support.csv","star-quick","3aa9ed32b4c2ba9b5cf852554bf3a953",167
"star/quick/summary/P017_pseudo_outcome_variances.csv","star-quick","c8416987df0c65942ede8fa290139bdb",2644
"star/quick/summary/P017_rep1_profiles.csv","star-quick","62ee32eaed9dd0f63b6760342098a8ca",81692
"star/quick/summary/P024_rep1_subgroups.csv","star-quick","9858ff5f075cf04d52eb3b56a139fc82",21733
"star/quick/summary/P024_subgroup_across_repetitions.csv","star-quick","e1d3eab5df265691f09b3e1209c6f851",14396
"star/quick/summary/RESULTS_SUMMARY.md","star-quick","3d48f6f9d8d39e8df0f7871f55655481",2979
"star/quick/summary/RUN_STATUS.csv","star-quick","ea10628d3922e406eeb31637b342a81c",239
"star/quick/summary/bootstrap_counts_by_fit.csv","star-quick","744d87f3aa3776fd150df9c1d468fb53",396
"star/quick/summary/comparator_fit_counts.csv","star-quick","f9bd47c946fddc32209c9c554ae2c92a",130
"star/quick/summary/comparator_status.csv","star-quick","b47e2952ca7afa70cd67647af265bd93",1967
"star/quick/summary/fit_and_bootstrap_counts.csv","star-quick","d37f26caeb9683848f749a7dafcab7e9",550
"star/quick/summary/unavailable_comparisons.csv","star-quick","c4d5f0eae7d96a36625744ccd879509a",1172
"star/quick/P019_STAR_diagnostics_q01.pdf","star-quick","7e178bb32f6351ab1d732172685bcf02",12176
"star/quick/P019_STAR_diagnostics_q02.pdf","star-quick","9f910bdf556f07dd550fb608d8cb69c3",12084
"star/quick/P019_STAR_diagnostics_q03.pdf","star-quick","82f6e73c63b9a2923ec1ece987cd9c7e",12187
"star/quick/P019_STAR_diagnostics_q04.pdf","star-quick","88e3ab2c127c3b944cbee668125ecda7",12194
"star/quick/P019_STAR_diagnostics_q05.pdf","star-quick","1254dcfcd07c8eb015b7c5e381300a7c",12286
"star/quick/q01_rep01_comparator_status.csv","star-quick","bce533003fd7fa36437b3d8fb6e19a09",407
"star/quick/q01_rep01_counts.csv","star-quick","1ba9db12b255b8b33630b10c721a258e",434
"star/quick/q01_rep01_intercept_subgroups.csv","star-quick","297d3babbf7cfbda8e67ff8b102cbd78",632
"star/quick/q01_rep01_lasso_subgroups.csv","star-quick","cfdac02bc9b35019530101371ef31e39",635
"star/quick/q01_rep01_overlap.csv","star-quick","e6387847f8e3792de5d2343db455a95d",205
"star/quick/q01_rep01_ridge_subgroups.csv","star-quick","ee0db1fe697740ecd563b81bc3f20d4e",633
"star/quick/q02_rep01_comparator_status.csv","star-quick","bce533003fd7fa36437b3d8fb6e19a09",407
"star/quick/q02_rep01_counts.csv","star-quick","9cfdefdd4454bf6204000670d8f9ee91",434
"star/quick/q02_rep01_intercept_subgroups.csv","star-quick","9e2a2d40f5e4b875b300f4a6beb8b87d",628
"star/quick/q02_rep01_lasso_subgroups.csv","star-quick","4e87799b60ea8210a27274c7a37b4f94",629
