"setting","scenario","n_r","n_o","calibration","variant","rho","gamma","kappa","treated_nuisance","method","target","interval_method","attempted","successful","fit_failures","unavailable","target_unavailable","interval_attempted","interval_successful","bootstrap_draws_attempted","bootstrap_draws_successful","bias","bias_mcse","rmse","rmse_mcse","coverage","coverage_mcse","mean_width","width_mcse","width_ratio","width_ratio_mcse","width_difference","width_difference_mcse","ise_difference","ise_difference_mcse","integrated_rmse_ratio","integrated_rmse_ratio_mcse","ise_increase_frequency","width_increase_frequency","variance_ratio","variance_ratio_mcse","control_loss_reduction","control_loss_reduction_mcse","pseudo_variance","control_loss","imputation_mse","imputation_mse_mcse","imputation_r_squared","imputation_r_squared_mcse","mean_embed_dim","coverage_scope"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept",6,250,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","above_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,-0.00955793160491715,0.0154085277698102,0.217574072295239,0.0104362651727308,,,,,,,,,-0.0378056742189979,0.00916467562980939,0.84059213581936,0.0339194002556133,0.405,,0.709908641046279,0.00586999643762494,1.1933882512691,0.0379406674277265,7.58950318888871,1.9034913781732,,,,,,"conditional on successful intervals"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept",6,250,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","average","not computed (B = 0)",200,200,0,0,0,0,0,0,0,-0.00884369280190419,0.0129096695622915,0.182327905093209,0.00820939629160608,,,,,,,,,-0.0378056742189979,0.00916467562980939,0.84059213581936,0.0339194002556133,0.405,,0.709908641046279,0.00586999643762494,1.1933882512691,0.0379406674277265,7.58950318888871,1.9034913781732,,,,,,"conditional on successful intervals"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept",6,250,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","below_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,-0.00812945399889,0.0170960086650199,0.241305857709532,0.0128811249950227,,,,,,,,,-0.0378056742189979,0.00916467562980939,0.84059213581936,0.0339194002556133,0.405,,0.709908641046279,0.00586999643762494,1.1933882512691,0.0379406674277265,7.58950318888871,1.9034913781732,,,,,,"conditional on successful intervals"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept",6,250,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","integrated","not computed (B = 0)",200,200,0,0,0,0,0,0,0,,,0.301738108738139,0.00834492423180508,,,,,,,,,-0.0378056742189979,0.00916467562980939,0.84059213581936,0.0339194002556133,0.405,,0.709908641046279,0.00586999643762494,1.1933882512691,0.0379406674277265,7.58950318888871,1.9034913781732,,,,,,"conditional on successful intervals"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept",6,250,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","profile_minus1","not computed (B = 0)",200,200,0,0,0,0,0,0,0,-0.00648527526133518,0.0192177971241476,0.271177949564284,0.0137413671449244,,,,,,,,,-0.0378056742189979,0.00916467562980939,0.84059213581936,0.0339194002556133,0.405,,0.709908641046279,0.00586999643762494,1.1933882512691,0.0379406674277265,7.58950318888871,1.9034913781732,,,,,,"conditional on successful intervals"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept",6,250,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","profile_plus1","not computed (B = 0)",200,200,0,0,0,0,0,0,0,-0.0112021103424741,0.017256447404897,0.243689757081996,0.0118229478635373,,,,,,,,,-0.0378056742189979,0.00916467562980939,0.84059213581936,0.0339194002556133,0.405,,0.709908641046279,0.00586999643762494,1.1933882512691,0.0379406674277265,7.58950318888871,1.9034913781732,,,,,,"conditional on successful intervals"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept",6,250,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","profile_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,-0.00884369280190462,0.0129096695622915,0.182327905093209,0.00820939629160608,,,,,,,,,-0.0378056742189979,0.00916467562980939,0.84059213581936,0.0339194002556133,0.405,,0.709908641046279,0.00586999643762494,1.1933882512691,0.0379406674277265,7.58950318888871,1.9034913781732,,,,,,"conditional on successful intervals"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept",6,250,2000,"intercept","nonprognostic",0,1,0,"dictionary","racer","above_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,-0.0351496414081442,0.0187596100848903,0.266960986715302,0.0130935977973909,,,,,,,,,0,0,1,0,0,,1,0,0,0,10.7886729058,3.0968796294423,,,,,,"conditional on successful intervals"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept",6,250,2000,"intercept","nonprognostic",0,1,0,"dictionary","racer","average","not computed (B = 0)",200,200,0,0,0,0,0,0,0,-0.0223900078512361,0.0149525282272014,0.212116370014773,0.011893896070313,,,,,,,,,0,0,1,0,0,,1,0,0,0,10.7886729058,3.0968796294423,,,,,,"conditional on successful intervals"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept",6,250,2000,"intercept","nonprognostic",0,1,0,"dictionary","racer","below_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,-0.0096303742943267,0.0187616377456945,0.264840622334041,0.0143832682604437,,,,,,,,,0,0,1,0,0,,1,0,0,0,10.7886729058,3.0968796294423,,,,,,"conditional on successful intervals"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept",6,250,2000,"intercept","nonprognostic",0,1,0,"dictionary","racer","integrated","not computed (B = 0)",200,200,0,0,0,0,0,0,0,,,0.358958995546659,0.0109447639348578,,,,,,,,,0,0,1,0,0,,1,0,0,0,10.7886729058,3.0968796294423,,,,,,"conditional on successful intervals"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept",6,250,2000,"intercept","nonprognostic",0,1,0,"dictionary","racer","profile_minus1","not computed (B = 0)",200,200,0,0,0,0,0,0,0,-0.00774342546603362,0.0209689432905668,0.295904681611876,0.0160093129334677,,,,,,,,,0,0,1,0,0,,1,0,0,0,10.7886729058,3.0968796294423,,,,,,"conditional on successful intervals"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept",6,250,2000,"intercept","nonprognostic",0,1,0,"dictionary","racer","profile_plus1","not computed (B = 0)",200,200,0,0,0,0,0,0,0,-0.0370365902364394,0.0216203970141485,0.307233756054202,0.0147976119659966,,,,,,,,,0,0,1,0,0,,1,0,0,0,10.7886729058,3.0968796294423,,,,,,"conditional on successful intervals"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept",6,250,2000,"intercept","nonprognostic",0,1,0,"dictionary","racer","profile_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,-0.0223900078512365,0.0149525282272014,0.212116370014773,0.011893896070313,,,,,,,,,0,0,1,0,0,,1,0,0,0,10.7886729058,3.0968796294423,,,,,,"conditional on successful intervals"
