"setting_index","replication","seed","B","setting"
1,1,475056915,0,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept"
2,1,85051915,0,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept"
3,1,475056915,0,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_ridge"
4,1,85051915,0,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_ridge"
5,1,475056915,0,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso"
6,1,85051915,0,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_lasso"
7,1,785871915,0,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept"
8,1,785871915,0,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_ridge"
9,1,785871915,0,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_lasso"
1,2,475056916,0,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept"
2,2,85051916,0,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept"
3,2,475056916,0,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_ridge"
4,2,85051916,0,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_ridge"
5,2,475056916,0,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso"
6,2,85051916,0,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_lasso"
7,2,785871916,0,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept"
8,2,785871916,0,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_ridge"
9,2,785871916,0,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_lasso"
1,3,475056917,0,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept"
2,3,85051917,0,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept"
3,3,475056917,0,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_ridge"
4,3,85051917,0,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_ridge"
5,3,475056917,0,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso"
6,3,85051917,0,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_lasso"
7,3,785871917,0,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept"
8,3,785871917,0,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_ridge"
9,3,785871917,0,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_lasso"
1,4,475056918,0,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept"
2,4,85051918,0,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept"
3,4,475056918,0,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_ridge"
4,4,85051918,0,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_ridge"
5,4,475056918,0,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso"
6,4,85051918,0,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_lasso"
7,4,785871918,0,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept"
8,4,785871918,0,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_ridge"
9,4,785871918,0,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_lasso"
1,5,475056919,0,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept"
2,5,85051919,0,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept"
3,5,475056919,0,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_ridge"
4,5,85051919,0,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_ridge"
5,5,475056919,0,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso"
6,5,85051919,0,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_lasso"
7,5,785871919,0,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept"
