"setting","scenario","n_r","n_o","calibration","variant","rho","gamma","kappa","treated_nuisance","method","target","interval_method","attempted","successful","fit_failures","unavailable","target_unavailable","interval_attempted","interval_successful","bootstrap_draws_attempted","bootstrap_draws_successful","bias","bias_mcse","rmse","rmse_mcse","coverage","coverage_mcse","mean_width","width_mcse","width_ratio","width_ratio_mcse","width_difference","width_difference_mcse","ise_difference","ise_difference_mcse","integrated_rmse_ratio","integrated_rmse_ratio_mcse","ise_increase_frequency","width_increase_frequency","variance_ratio","variance_ratio_mcse","control_loss_reduction","control_loss_reduction_mcse","pseudo_variance","control_loss","imputation_mse","imputation_mse_mcse","imputation_r_squared","imputation_r_squared_mcse","mean_embed_dim","coverage_scope"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","above_zero","pointwise conditional trial percentile bootstrap",10,10,0,0,0,10,10,200,200,0.00705014182968755,0.0668413387490388,0.200647914496245,0.0417352282712392,0.9,0.0948683298050514,0.608428825155207,0.0305196907362512,0.849826134671659,0.0889696070251536,-0.152831853109332,0.0585422648829075,-0.0357514333007547,0.0226671540601854,0.749833516541755,0.10589592121646,0.4,0.1,0.834319643225493,0.0204135358160051,0.321808098709164,0.0619865827059905,4.39900048951923,1.03741876428781,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","average","pointwise conditional trial percentile bootstrap",10,10,0,0,0,10,10,200,200,0.0396083944344079,0.0298695561570136,0.0979721306026593,0.013765627433425,1,0,0.471514318785662,0.0317619838509374,0.864546612886808,0.0463735953457588,-0.0786640929072123,0.0237948230086622,-0.0357514333007547,0.0226671540601854,0.749833516541755,0.10589592121646,0.4,0.2,0.834319643225493,0.0204135358160051,0.321808098709164,0.0619865827059905,4.39900048951923,1.03741876428781,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","below_zero","pointwise conditional trial percentile bootstrap",10,10,0,0,0,10,10,200,200,0.0721666470391307,0.0304583720659547,0.116436406699295,0.0301701789309617,1,0,0.638649565059679,0.0385098830877224,0.819425140888147,0.0498782443360487,-0.154391610852875,0.0488288873647867,-0.0357514333007547,0.0226671540601854,0.749833516541755,0.10589592121646,0.4,0.2,0.834319643225493,0.0204135358160051,0.321808098709164,0.0619865827059905,4.39900048951923,1.03741876428781,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","integrated","pointwise conditional trial percentile bootstrap",10,10,0,0,0,0,0,200,200,,,0.214288394204701,0.0243273784201795,,,,,,,,,-0.0357514333007547,0.0226671540601854,0.749833516541755,0.10589592121646,0.4,,0.834319643225493,0.0204135358160051,0.321808098709164,0.0619865827059905,4.39900048951923,1.03741876428781,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","profile_minus1","pointwise conditional trial percentile bootstrap",10,10,0,0,0,10,10,200,200,0.0827764503598359,0.0337948925468081,0.130884657597547,0.0298525373683709,1,0,0.726783323334955,0.0396034444986027,0.814564449378216,0.0497668095308262,-0.18567350917699,0.0563694960428705,-0.0357514333007547,0.0226671540601854,0.749833516541755,0.10589592121646,0.4,0.1,0.834319643225493,0.0204135358160051,0.321808098709164,0.0619865827059905,4.39900048951923,1.03741876428781,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","profile_plus1","pointwise conditional trial percentile bootstrap",10,10,0,0,0,10,10,200,200,-0.00355966149102082,0.0753632598588816,0.226117800314231,0.0448548265669577,0.9,0.0948683298050514,0.692664834425273,0.031097941216084,0.824995814848095,0.0712466699996675,-0.186610878263263,0.0658298159721685,-0.0357514333007547,0.0226671540601854,0.749833516541755,0.10589592121646,0.4,0.2,0.834319643225493,0.0204135358160051,0.321808098709164,0.0619865827059905,4.39900048951923,1.03741876428781,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","profile_zero","pointwise conditional trial percentile bootstrap",10,10,0,0,0,10,10,200,200,0.0396083944344075,0.0298695561570136,0.0979721306026591,0.013765627433425,1,0,0.471514318785662,0.0317619838509374,0.864546612886808,0.0463735953457589,-0.0786640929072121,0.0237948230086622,-0.0357514333007547,0.0226671540601854,0.749833516541755,0.10589592121646,0.4,0.2,0.834319643225493,0.0204135358160051,0.321808098709164,0.0619865827059905,4.39900048951923,1.03741876428781,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","causal_forest","above_zero","grf pointwise asymptotic normal interval",10,0,0,0,10,10,0,0,0,,,,,,,,,,,,,0.132145900362016,0.0321071691256164,1.61803220541038,0.276087274164786,0.9,,1,0,0,0,5.29116649020911,1.35922686299698,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","causal_forest","average","grf pointwise asymptotic normal interval",10,0,0,0,10,10,0,0,0,,,,,,,,,,,,,0.132145900362016,0.0321071691256164,1.61803220541038,0.276087274164786,0.9,,1,0,0,0,5.29116649020911,1.35922686299698,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","causal_forest","below_zero","grf pointwise asymptotic normal interval",10,0,0,0,10,10,0,0,0,,,,,,,,,,,,,0.132145900362016,0.0321071691256164,1.61803220541038,0.276087274164786,0.9,,1,0,0,0,5.29116649020911,1.35922686299698,,,,,,"conditional on successful intervals"
