"setting","scenario","n_r","n_o","calibration","variant","rho","gamma","kappa","treated_nuisance","method","target","interval_method","attempted","successful","fit_failures","unavailable","target_unavailable","interval_attempted","interval_successful","bootstrap_draws_attempted","bootstrap_draws_successful","bias","bias_mcse","rmse","rmse_mcse","coverage","coverage_mcse","mean_width","width_mcse","width_ratio","width_ratio_mcse","width_difference","width_difference_mcse","ise_difference","ise_difference_mcse","integrated_rmse_ratio","integrated_rmse_ratio_mcse","ise_increase_frequency","width_increase_frequency","variance_ratio","variance_ratio_mcse","control_loss_reduction","control_loss_reduction_mcse","pseudo_variance","control_loss","imputation_mse","imputation_mse_mcse","imputation_r_squared","imputation_r_squared_mcse","mean_embed_dim","coverage_scope"
"s5_n200_nonprognostic_rho0_g0_k0_linear_intercept",5,200,2000,"intercept","nonprognostic",0,0,0,"linear","B","above_zero","pointwise conditional trial percentile bootstrap",10,10,0,0,0,10,10,200,200,-0.0302423947832685,0.096091310102203,0.289855932036325,0.0645959786614572,0.8,0.126491106406735,1.11447929482793,0.0829288321657948,1.32018665619708,0.0616676213090971,0.268502716828995,0.0571417448530286,0.0954358867944042,0.0278512209276094,1.50404091421322,0.0705599503829107,0.9,0.9,1.71074229208631,0.0379153668050233,-2.97799450688716,0.171085546101475,8.98236882176321,4.3779305200129,,,,,,"conditional on successful intervals"
"s5_n200_nonprognostic_rho0_g0_k0_linear_intercept",5,200,2000,"intercept","nonprognostic",0,0,0,"linear","B","average","pointwise conditional trial percentile bootstrap",10,10,0,0,0,10,10,200,200,-0.0718176907477916,0.0623452926831882,0.200350194365059,0.0383750948082693,0.8,0.126491106406735,0.822033384719995,0.0548388650259994,1.33647390283516,0.10610312210354,0.184275168244479,0.0437746331359879,0.0954358867944042,0.0278512209276094,1.50404091421322,0.0705599503829107,0.9,1,1.71074229208631,0.0379153668050233,-2.97799450688716,0.171085546101475,8.98236882176321,4.3779305200129,,,,,,"conditional on successful intervals"
"s5_n200_nonprognostic_rho0_g0_k0_linear_intercept",5,200,2000,"intercept","nonprognostic",0,0,0,"linear","B","below_zero","pointwise conditional trial percentile bootstrap",10,10,0,0,0,10,10,200,200,-0.113392986712313,0.0683020766278957,0.234189095563148,0.044803087113678,0.9,0.0948683298050514,1.02576705318977,0.0573826784297759,1.4259945025469,0.0922232093457198,0.282279822895399,0.0484281149965069,0.0954358867944042,0.0278512209276094,1.50404091421322,0.0705599503829107,0.9,1,1.71074229208631,0.0379153668050233,-2.97799450688716,0.171085546101475,8.98236882176321,4.3779305200129,,,,,,"conditional on successful intervals"
"s5_n200_nonprognostic_rho0_g0_k0_linear_intercept",5,200,2000,"intercept","nonprognostic",0,0,0,"linear","B","integrated","pointwise conditional trial percentile bootstrap",10,10,0,0,0,0,0,200,200,,,0.413582259471836,0.0540158404676073,,,,,,,,,0.0954358867944042,0.0278512209276094,1.50404091421322,0.0705599503829107,0.9,,1.71074229208631,0.0379153668050233,-2.97799450688716,0.171085546101475,8.98236882176321,4.3779305200129,,,,,,"conditional on successful intervals"
"s5_n200_nonprognostic_rho0_g0_k0_linear_intercept",5,200,2000,"intercept","nonprognostic",0,0,0,"linear","B","profile_minus1","pointwise conditional trial percentile bootstrap",10,10,0,0,0,10,10,200,200,-0.13358013361592,0.0778914378984915,0.269160429814447,0.0460574978854641,0.9,0.0948683298050514,1.12034437828495,0.0701141468762583,1.34243755704848,0.0780015035266463,0.269616613445662,0.0542095282523965,0.0954358867944042,0.0278512209276094,1.50404091421322,0.0705599503829107,0.9,1,1.71074229208631,0.0379153668050233,-2.97799450688716,0.171085546101475,8.98236882176321,4.3779305200129,,,,,,"conditional on successful intervals"
"s5_n200_nonprognostic_rho0_g0_k0_linear_intercept",5,200,2000,"intercept","nonprognostic",0,0,0,"linear","B","profile_plus1","pointwise conditional trial percentile bootstrap",10,10,0,0,0,10,10,200,200,-0.0100552478796643,0.111700291814236,0.335251703548826,0.064651249670969,0.8,0.126491106406735,1.23349526545774,0.0758386030245189,1.32041087153382,0.0536174989055317,0.299511682749338,0.0558149862811902,0.0954358867944042,0.0278512209276094,1.50404091421322,0.0705599503829107,0.9,1,1.71074229208631,0.0379153668050233,-2.97799450688716,0.171085546101475,8.98236882176321,4.3779305200129,,,,,,"conditional on successful intervals"
"s5_n200_nonprognostic_rho0_g0_k0_linear_intercept",5,200,2000,"intercept","nonprognostic",0,0,0,"linear","B","profile_zero","pointwise conditional trial percentile bootstrap",10,10,0,0,0,10,10,200,200,-0.071817690747792,0.0623452926831881,0.200350194365059,0.0383750948082692,0.8,0.126491106406735,0.822033384719994,0.0548388650259994,1.33647390283516,0.10610312210354,0.184275168244479,0.043774633135988,0.0954358867944042,0.0278512209276094,1.50404091421322,0.0705599503829107,0.9,1,1.71074229208631,0.0379153668050233,-2.97799450688716,0.171085546101475,8.98236882176321,4.3779305200129,,,,,,"conditional on successful intervals"
"s5_n200_nonprognostic_rho0_g0_k0_linear_intercept",5,200,2000,"intercept","nonprognostic",0,0,0,"linear","causal_forest","above_zero","grf pointwise asymptotic normal interval",10,0,0,0,10,10,0,0,0,,,,,,,,,,,,,0.158957713536903,0.0121919051405644,1.76131055657791,0.169048225025219,1,,1,0,0,0,5.27515112841043,1.39993601312575,,,,,,"conditional on successful intervals"
"s5_n200_nonprognostic_rho0_g0_k0_linear_intercept",5,200,2000,"intercept","nonprognostic",0,0,0,"linear","causal_forest","average","grf pointwise asymptotic normal interval",10,0,0,0,10,10,0,0,0,,,,,,,,,,,,,0.158957713536903,0.0121919051405644,1.76131055657791,0.169048225025219,1,,1,0,0,0,5.27515112841043,1.39993601312575,,,,,,"conditional on successful intervals"
"s5_n200_nonprognostic_rho0_g0_k0_linear_intercept",5,200,2000,"intercept","nonprognostic",0,0,0,"linear","causal_forest","below_zero","grf pointwise asymptotic normal interval",10,0,0,0,10,10,0,0,0,,,,,,,,,,,,,0.158957713536903,0.0121919051405644,1.76131055657791,0.169048225025219,1,,1,0,0,0,5.27515112841043,1.39993601312575,,,,,,"conditional on successful intervals"
