"setting_index","replication","seed","B","setting"
1,1,533648915,20,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept"
2,1,74147915,20,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept"
3,1,533648915,20,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_ridge"
4,1,74147915,20,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_ridge"
5,1,533648915,20,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso"
6,1,74147915,20,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_lasso"
7,1,888766915,20,"s2_n200_nonprognostic_rho0_g1_k0_dictionary_intercept"
8,1,938707915,20,"s2_n500_nonprognostic_rho0_g1_k0_dictionary_intercept"
9,1,888766915,20,"s2_n200_nonprognostic_rho0_g1_k0_dictionary_ridge"
10,1,938707915,20,"s2_n500_nonprognostic_rho0_g1_k0_dictionary_ridge"
11,1,888766915,20,"s2_n200_nonprognostic_rho0_g1_k0_dictionary_lasso"
12,1,938707915,20,"s2_n500_nonprognostic_rho0_g1_k0_dictionary_lasso"
13,1,1017227915,20,"s3_n200_nonprognostic_rho0_g1_k0_dictionary_intercept"
14,1,268360915,20,"s3_n500_nonprognostic_rho0_g1_k0_dictionary_intercept"
15,1,833075915,20,"s3_n200_reversed_rho0_g1_k0_dictionary_intercept"
16,1,42143915,20,"s3_n500_reversed_rho0_g1_k0_dictionary_intercept"
17,1,1017227915,20,"s3_n200_nonprognostic_rho0_g1_k0_dictionary_ridge"
18,1,268360915,20,"s3_n500_nonprognostic_rho0_g1_k0_dictionary_ridge"
19,1,833075915,20,"s3_n200_reversed_rho0_g1_k0_dictionary_ridge"
20,1,42143915,20,"s3_n500_reversed_rho0_g1_k0_dictionary_ridge"
21,1,1017227915,20,"s3_n200_nonprognostic_rho0_g1_k0_dictionary_lasso"
22,1,268360915,20,"s3_n500_nonprognostic_rho0_g1_k0_dictionary_lasso"
23,1,833075915,20,"s3_n200_reversed_rho0_g1_k0_dictionary_lasso"
24,1,42143915,20,"s3_n500_reversed_rho0_g1_k0_dictionary_lasso"
25,1,24781915,20,"s4_n200_nonprognostic_rho0.0_g1_k0_dictionary_intercept"
26,1,734918915,20,"s4_n500_nonprognostic_rho0.0_g1_k0_dictionary_intercept"
27,1,477815915,20,"s4_n200_nonprognostic_rho0.8_g1_k0_dictionary_intercept"
28,1,497265915,20,"s4_n500_nonprognostic_rho0.8_g1_k0_dictionary_intercept"
29,1,24781915,20,"s4_n200_nonprognostic_rho0.0_g1_k0_dictionary_ridge"
30,1,734918915,20,"s4_n500_nonprognostic_rho0.0_g1_k0_dictionary_ridge"
31,1,477815915,20,"s4_n200_nonprognostic_rho0.8_g1_k0_dictionary_ridge"
32,1,497265915,20,"s4_n500_nonprognostic_rho0.8_g1_k0_dictionary_ridge"
33,1,24781915,20,"s4_n200_nonprognostic_rho0.0_g1_k0_dictionary_lasso"
34,1,734918915,20,"s4_n500_nonprognostic_rho0.0_g1_k0_dictionary_lasso"
35,1,477815915,20,"s4_n200_nonprognostic_rho0.8_g1_k0_dictionary_lasso"
36,1,497265915,20,"s4_n500_nonprognostic_rho0.8_g1_k0_dictionary_lasso"
37,1,482548915,20,"s5_n200_nonprognostic_rho0_g0_k0_linear_intercept"
38,1,361481915,20,"s5_n500_nonprognostic_rho0_g0_k0_linear_intercept"
39,1,689271915,20,"s5_n200_nonprognostic_rho0_g1_k0_linear_intercept"
40,1,293821915,20,"s5_n500_nonprognostic_rho0_g1_k0_linear_intercept"
41,1,530147915,20,"s5_n200_nonprognostic_rho0_g0_k1_linear_intercept"
42,1,903177915,20,"s5_n500_nonprognostic_rho0_g0_k1_linear_intercept"
43,1,296697915,20,"s5_n200_nonprognostic_rho0_g1_k1_linear_intercept"
44,1,593859915,20,"s5_n500_nonprognostic_rho0_g1_k1_linear_intercept"
45,1,665540915,20,"s5_n200_nonprognostic_rho0_g0_k0_sine_intercept"
46,1,420788915,20,"s5_n500_nonprognostic_rho0_g0_k0_sine_intercept"
47,1,515926915,20,"s5_n200_nonprognostic_rho0_g1_k0_sine_intercept"
48,1,912430915,20,"s5_n500_nonprognostic_rho0_g1_k0_sine_intercept"
49,1,393744915,20,"s5_n200_nonprognostic_rho0_g0_k1_sine_intercept"
50,1,439406915,20,"s5_n500_nonprognostic_rho0_g0_k1_sine_intercept"
51,1,502998915,20,"s5_n200_nonprognostic_rho0_g1_k1_sine_intercept"
52,1,1052979915,20,"s5_n500_nonprognostic_rho0_g1_k1_sine_intercept"
53,1,482548915,20,"s5_n200_nonprognostic_rho0_g0_k0_linear_ridge"
54,1,361481915,20,"s5_n500_nonprognostic_rho0_g0_k0_linear_ridge"
55,1,689271915,20,"s5_n200_nonprognostic_rho0_g1_k0_linear_ridge"
56,1,293821915,20,"s5_n500_nonprognostic_rho0_g1_k0_linear_ridge"
57,1,530147915,20,"s5_n200_nonprognostic_rho0_g0_k1_linear_ridge"
58,1,903177915,20,"s5_n500_nonprognostic_rho0_g0_k1_linear_ridge"
59,1,296697915,20,"s5_n200_nonprognostic_rho0_g1_k1_linear_ridge"
60,1,593859915,20,"s5_n500_nonprognostic_rho0_g1_k1_linear_ridge"
61,1,665540915,20,"s5_n200_nonprognostic_rho0_g0_k0_sine_ridge"
62,1,420788915,20,"s5_n500_nonprognostic_rho0_g0_k0_sine_ridge"
63,1,515926915,20,"s5_n200_nonprognostic_rho0_g1_k0_sine_ridge"
64,1,912430915,20,"s5_n500_nonprognostic_rho0_g1_k0_sine_ridge"
65,1,393744915,20,"s5_n200_nonprognostic_rho0_g0_k1_sine_ridge"
66,1,439406915,20,"s5_n500_nonprognostic_rho0_g0_k1_sine_ridge"
67,1,502998915,20,"s5_n200_nonprognostic_rho0_g1_k1_sine_ridge"
68,1,1052979915,20,"s5_n500_nonprognostic_rho0_g1_k1_sine_ridge"
69,1,482548915,20,"s5_n200_nonprognostic_rho0_g0_k0_linear_lasso"
70,1,361481915,20,"s5_n500_nonprognostic_rho0_g0_k0_linear_lasso"
71,1,689271915,20,"s5_n200_nonprognostic_rho0_g1_k0_linear_lasso"
72,1,293821915,20,"s5_n500_nonprognostic_rho0_g1_k0_linear_lasso"
73,1,530147915,20,"s5_n200_nonprognostic_rho0_g0_k1_linear_lasso"
74,1,903177915,20,"s5_n500_nonprognostic_rho0_g0_k1_linear_lasso"
75,1,296697915,20,"s5_n200_nonprognostic_rho0_g1_k1_linear_lasso"
76,1,593859915,20,"s5_n500_nonprognostic_rho0_g1_k1_linear_lasso"
77,1,665540915,20,"s5_n200_nonprognostic_rho0_g0_k0_sine_lasso"
78,1,420788915,20,"s5_n500_nonprognostic_rho0_g0_k0_sine_lasso"
79,1,515926915,20,"s5_n200_nonprognostic_rho0_g1_k0_sine_lasso"
80,1,912430915,20,"s5_n500_nonprognostic_rho0_g1_k0_sine_lasso"
81,1,393744915,20,"s5_n200_nonprognostic_rho0_g0_k1_sine_lasso"
82,1,439406915,20,"s5_n500_nonprognostic_rho0_g0_k1_sine_lasso"
83,1,502998915,20,"s5_n200_nonprognostic_rho0_g1_k1_sine_lasso"
84,1,1052979915,20,"s5_n500_nonprognostic_rho0_g1_k1_sine_lasso"
85,1,867924915,20,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept"
86,1,867924915,20,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_ridge"
87,1,867924915,20,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_lasso"
1,2,533648916,20,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept"
2,2,74147916,20,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept"
3,2,533648916,20,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_ridge"
4,2,74147916,20,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_ridge"
5,2,533648916,20,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso"
6,2,74147916,20,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_lasso"
7,2,888766916,20,"s2_n200_nonprognostic_rho0_g1_k0_dictionary_intercept"
8,2,938707916,20,"s2_n500_nonprognostic_rho0_g1_k0_dictionary_intercept"
9,2,888766916,20,"s2_n200_nonprognostic_rho0_g1_k0_dictionary_ridge"
10,2,938707916,20,"s2_n500_nonprognostic_rho0_g1_k0_dictionary_ridge"
11,2,888766916,20,"s2_n200_nonprognostic_rho0_g1_k0_dictionary_lasso"
12,2,938707916,20,"s2_n500_nonprognostic_rho0_g1_k0_dictionary_lasso"
13,2,1017227916,20,"s3_n200_nonprognostic_rho0_g1_k0_dictionary_intercept"
14,2,268360916,20,"s3_n500_nonprognostic_rho0_g1_k0_dictionary_intercept"
15,2,833075916,20,"s3_n200_reversed_rho0_g1_k0_dictionary_intercept"
16,2,42143916,20,"s3_n500_reversed_rho0_g1_k0_dictionary_intercept"
17,2,1017227916,20,"s3_n200_nonprognostic_rho0_g1_k0_dictionary_ridge"
18,2,268360916,20,"s3_n500_nonprognostic_rho0_g1_k0_dictionary_ridge"
19,2,833075916,20,"s3_n200_reversed_rho0_g1_k0_dictionary_ridge"
20,2,42143916,20,"s3_n500_reversed_rho0_g1_k0_dictionary_ridge"
21,2,1017227916,20,"s3_n200_nonprognostic_rho0_g1_k0_dictionary_lasso"
22,2,268360916,20,"s3_n500_nonprognostic_rho0_g1_k0_dictionary_lasso"
23,2,833075916,20,"s3_n200_reversed_rho0_g1_k0_dictionary_lasso"
24,2,42143916,20,"s3_n500_reversed_rho0_g1_k0_dictionary_lasso"
25,2,24781916,20,"s4_n200_nonprognostic_rho0.0_g1_k0_dictionary_intercept"
26,2,734918916,20,"s4_n500_nonprognostic_rho0.0_g1_k0_dictionary_intercept"
27,2,477815916,20,"s4_n200_nonprognostic_rho0.8_g1_k0_dictionary_intercept"
28,2,497265916,20,"s4_n500_nonprognostic_rho0.8_g1_k0_dictionary_intercept"
29,2,24781916,20,"s4_n200_nonprognostic_rho0.0_g1_k0_dictionary_ridge"
30,2,734918916,20,"s4_n500_nonprognostic_rho0.0_g1_k0_dictionary_ridge"
31,2,477815916,20,"s4_n200_nonprognostic_rho0.8_g1_k0_dictionary_ridge"
32,2,497265916,20,"s4_n500_nonprognostic_rho0.8_g1_k0_dictionary_ridge"
33,2,24781916,20,"s4_n200_nonprognostic_rho0.0_g1_k0_dictionary_lasso"
34,2,734918916,20,"s4_n500_nonprognostic_rho0.0_g1_k0_dictionary_lasso"
35,2,477815916,20,"s4_n200_nonprognostic_rho0.8_g1_k0_dictionary_lasso"
36,2,497265916,20,"s4_n500_nonprognostic_rho0.8_g1_k0_dictionary_lasso"
37,2,482548916,20,"s5_n200_nonprognostic_rho0_g0_k0_linear_intercept"
38,2,361481916,20,"s5_n500_nonprognostic_rho0_g0_k0_linear_intercept"
39,2,689271916,20,"s5_n200_nonprognostic_rho0_g1_k0_linear_intercept"
40,2,293821916,20,"s5_n500_nonprognostic_rho0_g1_k0_linear_intercept"
41,2,530147916,20,"s5_n200_nonprognostic_rho0_g0_k1_linear_intercept"
42,2,903177916,20,"s5_n500_nonprognostic_rho0_g0_k1_linear_intercept"
43,2,296697916,20,"s5_n200_nonprognostic_rho0_g1_k1_linear_intercept"
44,2,593859916,20,"s5_n500_nonprognostic_rho0_g1_k1_linear_intercept"
45,2,665540916,20,"s5_n200_nonprognostic_rho0_g0_k0_sine_intercept"
46,2,420788916,20,"s5_n500_nonprognostic_rho0_g0_k0_sine_intercept"
47,2,515926916,20,"s5_n200_nonprognostic_rho0_g1_k0_sine_intercept"
48,2,912430916,20,"s5_n500_nonprognostic_rho0_g1_k0_sine_intercept"
49,2,393744916,20,"s5_n200_nonprognostic_rho0_g0_k1_sine_intercept"
50,2,439406916,20,"s5_n500_nonprognostic_rho0_g0_k1_sine_intercept"
51,2,502998916,20,"s5_n200_nonprognostic_rho0_g1_k1_sine_intercept"
52,2,1052979916,20,"s5_n500_nonprognostic_rho0_g1_k1_sine_intercept"
53,2,482548916,20,"s5_n200_nonprognostic_rho0_g0_k0_linear_ridge"
54,2,361481916,20,"s5_n500_nonprognostic_rho0_g0_k0_linear_ridge"
55,2,689271916,20,"s5_n200_nonprognostic_rho0_g1_k0_linear_ridge"
56,2,293821916,20,"s5_n500_nonprognostic_rho0_g1_k0_linear_ridge"
57,2,530147916,20,"s5_n200_nonprognostic_rho0_g0_k1_linear_ridge"
58,2,903177916,20,"s5_n500_nonprognostic_rho0_g0_k1_linear_ridge"
59,2,296697916,20,"s5_n200_nonprognostic_rho0_g1_k1_linear_ridge"
60,2,593859916,20,"s5_n500_nonprognostic_rho0_g1_k1_linear_ridge"
61,2,665540916,20,"s5_n200_nonprognostic_rho0_g0_k0_sine_ridge"
62,2,420788916,20,"s5_n500_nonprognostic_rho0_g0_k0_sine_ridge"
63,2,515926916,20,"s5_n200_nonprognostic_rho0_g1_k0_sine_ridge"
64,2,912430916,20,"s5_n500_nonprognostic_rho0_g1_k0_sine_ridge"
65,2,393744916,20,"s5_n200_nonprognostic_rho0_g0_k1_sine_ridge"
66,2,439406916,20,"s5_n500_nonprognostic_rho0_g0_k1_sine_ridge"
67,2,502998916,20,"s5_n200_nonprognostic_rho0_g1_k1_sine_ridge"
68,2,1052979916,20,"s5_n500_nonprognostic_rho0_g1_k1_sine_ridge"
69,2,482548916,20,"s5_n200_nonprognostic_rho0_g0_k0_linear_lasso"
70,2,361481916,20,"s5_n500_nonprognostic_rho0_g0_k0_linear_lasso"
71,2,689271916,20,"s5_n200_nonprognostic_rho0_g1_k0_linear_lasso"
72,2,293821916,20,"s5_n500_nonprognostic_rho0_g1_k0_linear_lasso"
73,2,530147916,20,"s5_n200_nonprognostic_rho0_g0_k1_linear_lasso"
74,2,903177916,20,"s5_n500_nonprognostic_rho0_g0_k1_linear_lasso"
75,2,296697916,20,"s5_n200_nonprognostic_rho0_g1_k1_linear_lasso"
76,2,593859916,20,"s5_n500_nonprognostic_rho0_g1_k1_linear_lasso"
77,2,665540916,20,"s5_n200_nonprognostic_rho0_g0_k0_sine_lasso"
78,2,420788916,20,"s5_n500_nonprognostic_rho0_g0_k0_sine_lasso"
79,2,515926916,20,"s5_n200_nonprognostic_rho0_g1_k0_sine_lasso"
80,2,912430916,20,"s5_n500_nonprognostic_rho0_g1_k0_sine_lasso"
81,2,393744916,20,"s5_n200_nonprognostic_rho0_g0_k1_sine_lasso"
82,2,439406916,20,"s5_n500_nonprognostic_rho0_g0_k1_sine_lasso"
83,2,502998916,20,"s5_n200_nonprognostic_rho0_g1_k1_sine_lasso"
84,2,1052979916,20,"s5_n500_nonprognostic_rho0_g1_k1_sine_lasso"
