"profile","group","percentile","n_control","n_treated","estimate","lower","upper","width","trial_estimate","trial_lower","trial_upper","trial_width","width_ratio","q","repetition","calibration","reference_disagreement","full_cohort_n_control","full_cohort_n_treated","supported"
"1.1:0.25","1.1",0.25,21,8,8.67504527932878,-6.12298253580567,22.6653006004757,28.7882831362814,3.94356286088439,-7.77342116559459,20.5281810510803,28.3016022166749,1.01719623206773,0.1,1,"intercept",3.94775022052434,189,150,TRUE
"1.1:0.5","1.1",0.5,25,19,9.19352885951939,-6.79845167437412,22.7204176326495,29.5188693070236,11.442398746012,-7.55915773292001,27.0238070461254,34.5829647790454,0.853566763162819,0.1,1,"intercept",-3.59059516017127,279,164,TRUE
"1.1:0.75","1.1",0.75,21,8,16.0255140315033,-0.228481374774665,31.5144818640688,31.7429632388435,22.6485868960147,1.13614965453241,35.9510157164346,34.8148660619022,0.911764623261892,0.1,1,"intercept",5.88372016750514,189,150,TRUE
"2.1:0.25","2.1",0.25,25,15,5.39774362512824,-5.44065580402414,23.4794538301431,28.9201096341672,2.98270497398846,-8.5165444259242,21.715755397001,30.2322998229252,0.9565964152101,0.1,1,"intercept",-7.9886169082426,261,180,TRUE
"2.1:0.5","2.1",0.5,25,15,8.78182614752466,-4.83503248934381,26.6360406151692,31.471073104513,13.1230670052719,-5.11143319636757,26.1594796263872,31.2709128227547,1.00640084550434,0.1,1,"intercept",-7.48627621387326,261,180,TRUE
"2.1:0.75","2.1",0.75,25,15,11.2157089703193,-4.98136119635069,30.9264713754236,35.9078325717743,14.0144658656693,-4.18054849780551,27.4218467736048,31.6023952714103,1.13623768905451,0.1,1,"intercept",-5.49620327469353,261,180,TRUE
"1.2:0.25","1.2",0.25,24,28,10.4586456671589,-3.23146072840198,26.1207506696848,29.3522113980868,10.4946671117413,-3.16956193664296,24.4448229998251,27.614384936468,1.06293192716828,0.1,1,"intercept",3.90552540001908,303,251,TRUE
"1.2:0.5","1.2",0.5,24,28,13.5857755098512,-2.07164329958229,31.275839245754,33.3474825453363,20.6037133514494,1.2843532765833,37.7771763829734,36.4928231063901,0.91380933856819,0.1,1,"intercept",4.18179168366091,303,251,TRUE
"1.2:0.75","1.2",0.75,24,28,16.0935169621101,-0.160618551715726,31.4859046590745,31.6465232107902,22.6327837231299,1.08923564798821,35.7377442471505,34.6485085991623,0.91335888585852,0.1,1,"intercept",5.94968056430988,303,251,TRUE
"2.2:0.25","2.2",0.25,2,3,6.42846350303052,-5.70303908276727,24.4235047746578,30.1265438574251,6.66762626615278,-6.61582273158783,23.2480107923865,29.8638335239743,1.00879693938957,0.1,1,"intercept",-7.98735170744311,26,22,TRUE
"2.2:0.5","2.2",0.5,41,16,12.9542419000672,1.1043946227582,25.913897827869,24.8095032051108,21.3325894897932,3.79281563351477,36.4099301767852,32.6171145432705,0.760628386431853,0.1,1,"intercept",0.328044498779398,289,224,TRUE
"2.2:0.75","2.2",0.75,41,16,15.0925390553183,3.50707044650357,27.4402238417698,23.9331533952662,21.7394473343063,4.10771604296722,33.8291773266094,29.7214612836422,0.805248206569113,0.1,1,"intercept",2.17216855218033,289,224,TRUE
"1.Missing:0.25","1.Missing",0.25,2,3,8.20390283206217,-6.88679076565998,21.7525205393884,28.6393113050484,2.21305055732181,-9.32643923344801,19.5762123026319,28.9026515360799,0.99088871722711,0.1,1,"intercept",3.95890959254553,11,15,TRUE
"1.Missing:0.5","1.Missing",0.5,2,3,12.7180749699126,-2.42305745764739,30.1670042539573,32.5900617116047,18.2888741436968,0.404076924178004,34.8137314409364,34.4096545167584,0.947119701412069,0.1,1,"intercept",3.98042120194898,11,15,TRUE
"1.Missing:0.75","1.Missing",0.75,2,3,15.9346495871464,-0.318633282325827,31.5513060911307,31.8699393734566,22.6673833930924,1.19747231416757,36.2351219426553,35.0376496284877,0.909591245742249,0.1,1,"intercept",5.79617506214427,11,15,TRUE
"2.Missing:0.25","2.Missing",0.25,4,2,8.2537304247088,-0.644841697846907,21.344650456669,21.9894921545159,7.13863299020804,-2.60584219008048,19.786348958774,22.3921911488544,0.982016096966055,0.1,1,"intercept",-0.341994516024691,18,9,TRUE
"2.Missing:0.5","2.Missing",0.5,4,2,9.83107533837862,-0.37772278159777,23.2311991217693,23.6089219033671,12.8972060203131,0.352392807365672,26.4992346348873,26.1468418275216,0.902935890273252,0.1,1,"intercept",-0.370441145163067,18,9,TRUE
"1.1:0.25","1.1",0.25,21,8,3.56151689988621,-7.66432753502223,18.3408276996473,26.0051552346696,4.07722481113948,-7.18960213308068,19.5819468480489,26.7715489811296,0.971372827661179,0.1,1,"ridge",-1.16577815891823,189,150,TRUE
"1.1:0.5","1.1",0.5,25,19,11.0222520625191,-4.79639064909733,25.1245745549072,29.9209652040046,11.5169703859563,-4.01448063787886,26.9520957314292,30.966576369308,0.966234201907454,0.1,1,"ridge",-1.76187195717158,279,164,TRUE
"1.1:0.75","1.1",0.75,21,8,21.5499786607596,2.47344684280643,37.7159747256073,35.2425278828009,22.6054411662735,1.61079754574932,36.214807278483,34.6040097327337,1.01845214340762,0.1,1,"ridge",11.4081847967614,189,150,TRUE
"2.1:0.25","2.1",0.25,25,15,3.08616132986468,-7.8008642168275,19.7241629478499,27.5250271646774,2.60545426181292,-7.45020516874078,22.8823832180796,30.3325883868204,0.907440763500327,0.1,1,"ridge",-10.3001992035062,261,180,TRUE
"2.1:0.5","2.1",0.5,25,15,12.7081386413312,-4.91978037793397,25.7579453702773,30.6777257482113,12.5335936202309,-1.98187892444106,26.5765852077432,28.5584641321842,1.07420782876201,0.1,1,"ridge",-3.5599637200667,261,180,TRUE
"2.1:0.75","2.1",0.75,25,15,14.0159997215948,-3.29212606573594,27.4891540730388,30.7812801387748,13.8201798707787,-2.08392770035287,26.9244638668639,29.0083915672168,1.06111640376372,0.1,1,"ridge",-2.6959125234181,261,180,TRUE
"1.2:0.25","1.2",0.25,24,28,9.69064077205552,-2.51606743513682,23.4047701474148,25.9208375825516,10.4132247036971,-3.23140182942058,23.6704107528746,26.9018125822952,0.963534984985018,0.1,1,"ridge",3.13752050491567,303,251,TRUE
"1.2:0.5","1.2",0.5,24,28,19.2295931778127,1.30511272840316,38.4213894058585,37.1162766774553,20.2629537113125,1.96381152495512,38.1887049359948,36.2248934110397,1.024606925859,0.1,1,"ridge",9.8256093516224,303,251,TRUE
"1.2:0.75","1.2",0.75,24,28,21.5508306587649,2.48581130470729,37.539360516943,35.0535492122357,22.6041632083984,1.54804161799344,35.9962980003566,34.4482563823631,1.01757107306547,0.1,1,"ridge",11.4069942609647,303,251,TRUE
"2.2:0.25","2.2",0.25,2,3,6.53966323846194,-6.72710553085242,21.8177423564306,28.544847887283,6.17470207144143,-4.59781501665507,24.3230977295868,28.9209127462419,0.986996784566981,0.1,1,"ridge",-7.87615197201169,26,22,TRUE
"2.2:0.5","2.2",0.5,41,16,20.0334960453949,2.68506253350466,34.2501124267554,31.5650498932507,20.366650255618,3.6152819667735,36.3095959560228,32.6943139892493,0.965459923815195,0.1,1,"ridge",7.40729864410714,289,224,TRUE
"2.2:0.75","2.2",0.75,41,16,20.8526320028953,5.46567591847835,32.7913942823247,27.3257183638463,21.1529017540304,5.11794034753605,33.185334051405,28.0673937038689,0.973575197332256,0.1,1,"ridge",7.93226149975733,289,224,TRUE
"1.Missing:0.25","1.Missing",0.25,2,3,1.94247446018255,-9.09475880317985,17.1469313358557,26.2416901390356,2.40353473228656,-8.61386951977735,18.6007017441313,27.2145712639087,0.964251462371436,0.1,1,"ridge",-2.30251877933408,11,15,TRUE
"1.Missing:0.5","1.Missing",0.5,2,3,17.0125058244431,0.449070865688665,35.3079983513867,34.858927485698,17.978122698666,0.935397884038001,35.2480547493649,34.3126568653269,1.01592038245581,0.1,1,"ridge",8.27485205647948,11,15,TRUE
