"geography","median","median_denominator","q","seed","repetition"
"rural_inner_city",533.333333333333,2811,0.1,20261915,1
"urban_suburban",543.333333333333,1407,0.1,20261915,1
"rural_inner_city",533.333333333333,2811,0.2,20262915,1
"urban_suburban",543.333333333333,1407,0.2,20262915,1
"rural_inner_city",533.333333333333,2811,0.3,20263915,1
"urban_suburban",543.333333333333,1407,0.3,20263915,1
"rural_inner_city",533.333333333333,2811,0.4,20264915,1
"urban_suburban",543.333333333333,1407,0.4,20264915,1
"rural_inner_city",533.333333333333,2811,0.5,20265915,1
"urban_suburban",543.333333333333,1407,0.5,20265915,1
