"source","geography","arm","Freq","q","seed","repetition"
"external","rural_inner_city",-1,1443,0.1,20261915,1
"trial","rural_inner_city",-1,169,0.1,20261915,1
"external","urban_suburban",-1,801,0.1,20261915,1
"trial","urban_suburban",-1,0,0.1,20261915,1
"external","rural_inner_city",1,479,0.1,20261915,1
"trial","rural_inner_city",1,115,0.1,20261915,1
"external","urban_suburban",1,243,0.1,20261915,1
"trial","urban_suburban",1,0,0.1,20261915,1
"external","rural_inner_city",-1,1294,0.2,20262915,1
"trial","rural_inner_city",-1,318,0.2,20262915,1
"external","urban_suburban",-1,801,0.2,20262915,1
"trial","urban_suburban",-1,0,0.2,20262915,1
"external","rural_inner_city",1,441,0.2,20262915,1
"trial","rural_inner_city",1,226,0.2,20262915,1
"external","urban_suburban",1,243,0.2,20262915,1
"trial","urban_suburban",1,0,0.2,20262915,1
"external","rural_inner_city",-1,1139,0.3,20263915,1
"trial","rural_inner_city",-1,473,0.3,20263915,1
"external","urban_suburban",-1,801,0.3,20263915,1
"trial","urban_suburban",-1,0,0.3,20263915,1
"external","rural_inner_city",1,378,0.3,20263915,1
"trial","rural_inner_city",1,370,0.3,20263915,1
"external","urban_suburban",1,243,0.3,20263915,1
"trial","urban_suburban",1,0,0.3,20263915,1
"external","rural_inner_city",-1,969,0.4,20264915,1
"trial","rural_inner_city",-1,643,0.4,20264915,1
"external","urban_suburban",-1,801,0.4,20264915,1
"trial","urban_suburban",-1,0,0.4,20264915,1
"external","rural_inner_city",1,329,0.4,20264915,1
"trial","rural_inner_city",1,468,0.4,20264915,1
"external","urban_suburban",1,243,0.4,20264915,1
"trial","urban_suburban",1,0,0.4,20264915,1
"external","rural_inner_city",-1,800,0.5,20265915,1
"trial","rural_inner_city",-1,812,0.5,20265915,1
"external","urban_suburban",-1,801,0.5,20265915,1
"trial","urban_suburban",-1,0,0.5,20265915,1
"external","rural_inner_city",1,260,0.5,20265915,1
"trial","rural_inner_city",1,629,0.5,20265915,1
"external","urban_suburban",1,243,0.5,20265915,1
"trial","urban_suburban",1,0,0.5,20265915,1
