"q","repetition","calibration","baseline","variance"
0.1,1,"intercept","none",1306479.33674133
0.1,1,"intercept","trial_only",6004.30430400481
0.1,1,"intercept","external",7271.62857332385
0.1,1,"intercept","calibrated",6341.08627217891
0.1,1,"lasso","none",1306479.33674133
0.1,1,"lasso","trial_only",5997.00749011436
0.1,1,"lasso","external",7271.62857332385
0.1,1,"lasso","calibrated",5998.65752118897
0.1,1,"ridge","none",1306479.33674133
0.1,1,"ridge","trial_only",5997.00749011436
0.1,1,"ridge","external",7271.62857332385
0.1,1,"ridge","calibrated",6048.34050793089
0.2,1,"intercept","none",1229016.79659479
0.2,1,"intercept","trial_only",5306.83367208409
0.2,1,"intercept","external",6715.20676438207
0.2,1,"intercept","calibrated",5603.32407045589
0.2,1,"lasso","none",1229016.79659479
0.2,1,"lasso","trial_only",5335.23547214944
0.2,1,"lasso","external",6715.20676438207
0.2,1,"lasso","calibrated",5331.25065081249
0.2,1,"ridge","none",1229016.79659479
0.2,1,"ridge","trial_only",5335.23547214944
0.2,1,"ridge","external",6715.20676438207
0.2,1,"ridge","calibrated",5322.09240452072
0.3,1,"intercept","none",1250627.69311426
0.3,1,"intercept","trial_only",5310.79634501286
0.3,1,"intercept","external",7322.58033045376
0.3,1,"intercept","calibrated",5700.21053953824
0.3,1,"lasso","none",1250627.69311426
0.3,1,"lasso","trial_only",5308.14507803441
0.3,1,"lasso","external",7322.58033045376
0.3,1,"lasso","calibrated",5296.24483864051
0.3,1,"ridge","none",1250627.69311426
0.3,1,"ridge","trial_only",5308.14507803441
0.3,1,"ridge","external",7322.58033045376
0.3,1,"ridge","calibrated",5317.52696404929
0.4,1,"intercept","none",1250115.9427952
0.4,1,"intercept","trial_only",5510.03968946638
0.4,1,"intercept","external",7409.96155579204
0.4,1,"intercept","calibrated",5866.17650515123
0.4,1,"lasso","none",1250115.9427952
0.4,1,"lasso","trial_only",5487.99515077712
0.4,1,"lasso","external",7409.96155579204
0.4,1,"lasso","calibrated",5490.48016056847
0.4,1,"ridge","none",1250115.9427952
0.4,1,"ridge","trial_only",5487.99515077712
0.4,1,"ridge","external",7409.96155579204
0.4,1,"ridge","calibrated",5492.81688954951
0.5,1,"intercept","none",1261224.6109356
0.5,1,"intercept","trial_only",5448.61796713653
0.5,1,"intercept","external",7050.86439787739
0.5,1,"intercept","calibrated",5791.1650371147
0.5,1,"lasso","none",1261224.6109356
0.5,1,"lasso","trial_only",5448.1048570392
0.5,1,"lasso","external",7050.86439787739
0.5,1,"lasso","calibrated",5459.47942183018
0.5,1,"ridge","none",1261224.6109356
0.5,1,"ridge","trial_only",5448.1048570392
0.5,1,"ridge","external",7050.86439787739
0.5,1,"ridge","calibrated",5451.58693698022
