"q","repetition","method","status","reason","interval_method"
0.1,1,"procova_interaction","unavailable","Comparison outcome design is rank deficient: the declared treatment interactions are not identifiable; retain the unavailable result or prespecify a simpler basis.","unavailable"
0.1,1,"rlearner","success",NA,"pointwise conditional trial percentile bootstrap"
0.1,1,"causal_forest","success",NA,"grf pointwise asymptotic normal interval"
0.2,1,"procova_interaction","unavailable","Comparison outcome design is rank deficient: the declared treatment interactions are not identifiable; retain the unavailable result or prespecify a simpler basis.","unavailable"
0.2,1,"rlearner","success",NA,"pointwise conditional trial percentile bootstrap"
0.2,1,"causal_forest","success",NA,"grf pointwise asymptotic normal interval"
0.3,1,"procova_interaction","unavailable","Comparison outcome design is rank deficient: the declared treatment interactions are not identifiable; retain the unavailable result or prespecify a simpler basis.","unavailable"
0.3,1,"rlearner","success",NA,"pointwise conditional trial percentile bootstrap"
0.3,1,"causal_forest","success",NA,"grf pointwise asymptotic normal interval"
0.4,1,"procova_interaction","unavailable","Comparison outcome design is rank deficient: the declared treatment interactions are not identifiable; retain the unavailable result or prespecify a simpler basis.","unavailable"
0.4,1,"rlearner","success",NA,"pointwise conditional trial percentile bootstrap"
0.4,1,"causal_forest","success",NA,"grf pointwise asymptotic normal interval"
0.5,1,"procova_interaction","unavailable","Comparison outcome design is rank deficient: the declared treatment interactions are not identifiable; retain the unavailable result or prespecify a simpler basis.","unavailable"
0.5,1,"rlearner","success",NA,"pointwise conditional trial percentile bootstrap"
0.5,1,"causal_forest","success",NA,"grf pointwise asymptotic normal interval"
