"column","identical"
"stdntid",TRUE
"gender",TRUE
"race",TRUE
"birthmonth",TRUE
"birthday",TRUE
"birthyear",TRUE
"gkclasstype",TRUE
"gkclasssize",TRUE
"gkschid",TRUE
"gksurban",TRUE
"gktchid",TRUE
"gkfreelunch",TRUE
"gktreadss",TRUE
"gktmathss",TRUE
"gktlistss",TRUE
"g1classtype",TRUE
"g1classsize",TRUE
"g1schid",TRUE
"g1surban",TRUE
"g1tchid",TRUE
"g1freelunch",TRUE
"g1treadss",TRUE
"g1tmathss",TRUE
"g1tlistss",TRUE
"g2classtype",TRUE
"g2classsize",TRUE
"g2schid",TRUE
"g2surban",TRUE
"g2tchid",TRUE
"g2freelunch",TRUE
"g2treadss",TRUE
"g2tmathss",TRUE
"g2tlistss",TRUE
"g3classtype",TRUE
"g3classsize",TRUE
"g3schid",TRUE
"g3surban",TRUE
"g3tchid",TRUE
"g3freelunch",TRUE
"g3treadss",TRUE
"g3tmathss",TRUE
"g3tlangss",TRUE
"g3tlistss",TRUE
